step,epoch,lr,world_size,bs,loss,nce_12,nce_21,tau,gather,bs_local,bs_global_view,run_name,scale,objective,init,reg,sim,sigreg,V,inv,var,cov
10700,411,0.00042875959999997404,1,384,2.450836181640625,2.4510700702667236,2.4506022930145264,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
10800,415,0.0004327195999999736,1,384,2.5527749061584473,2.55230712890625,2.5532429218292236,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
10900,419,0.00043667959999997254,1,384,2.5018715858459473,2.502197265625,2.5015461444854736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
11000,423,0.0004406395999999721,1,384,2.5669658184051514,2.5671184062957764,2.5668132305145264,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
11100,426,0.00044459959999997186,1,384,2.4851889610290527,2.4849853515625,2.4853923320770264,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
11200,430,0.00044855959999997176,1,384,2.472930908203125,2.4727985858917236,2.4730632305145264,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
11300,434,0.000452519599999972,1,384,2.4997763633728027,2.4996337890625,2.4999186992645264,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
11400,438,0.0004564795999999721,1,384,2.459320068359375,2.4596354961395264,2.4590046405792236,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
11500,442,0.000460439599999972,1,384,2.5076699256896973,2.5078125,2.5075275897979736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
11600,446,0.00046439959999997174,1,384,2.455474853515625,2.45513916015625,2.455810546875,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
11700,450,0.00046835959999997126,1,384,2.444305419921875,2.44427490234375,2.4443359375,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
11800,453,0.0004723195999999719,1,384,2.4651386737823486,2.4651691913604736,2.4651081562042236,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
11900,457,0.0004762795999999715,1,384,2.4534811973571777,2.4532268047332764,2.4537353515625,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
12000,461,0.0004802395999999717,1,384,2.418548583984375,2.4184367656707764,2.4186604022979736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
12100,465,0.00048419959999997125,1,384,2.4242146015167236,2.4246418476104736,2.4237873554229736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
12200,469,0.0004881595999999707,1,384,2.4584145545959473,2.45831298828125,2.4585163593292236,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
12300,473,0.0004921195999999699,1,384,2.418304443359375,2.4185993671417236,2.4180095195770264,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
12400,476,0.0004960795999999694,1,384,2.4713644981384277,2.47125244140625,2.4714763164520264,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
12500,480,0.0004999999991235791,1,384,2.427642822265625,2.4275715351104736,2.4277141094207764,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
12600,484,0.000499991059684037,1,384,2.4625344276428223,2.4623005390167236,2.4627685546875,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
12700,488,0.0004999645925570581,1,384,2.37042236328125,2.3704833984375,2.370361328125,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
12800,492,0.0004999205996001967,1,384,2.463043212890625,2.4628093242645264,2.4632771015167236,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
12900,496,0.0004998590839010295,1,384,2.3916220664978027,2.3916423320770264,2.3916015625,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
13000,500,0.00049978004977694,1,384,2.293182373046875,2.292724609375,2.29364013671875,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
13100,503,0.0004996835027748158,1,384,2.4665729999542236,2.4667561054229736,2.4663898944854736,0.2,1.0,384.0,384.0,geometry-fixedcompute-10k-infonce-random-50ksteps,10k,infonce,random,,,,,,,
